id,host_id,property_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,review_scores_rating
13957865,33021734,Apartment,84,,,,60,20,1,1125,15,45,75,350,83
13959175,72631016,Guest suite,174,,,0,0,0,1,28,17,46,74,339,95
13959246,7509953,Apartment,140,,,250,80,0,1,1125,0,0,0,160,91
13959333,33418693,House,400,,,,150,0,7,31,15,37,37,37,100
13962421,23513274,Apartment,40,,,150,45,0,5,28,0,0,0,0,90
13963059,32996202,House,40,,,,10,0,2,16,0,0,0,0,
13963625,83217833,Apartment,100,,,200,60,0,5,1125,14,44,74,349,100
13965166,44323684,Apartment,143,,,125,35,0,1,999,17,38,68,341,94
13966771,17391639,House,75,,,0,20,0,1,30,0,0,25,299,100
13968724,83270025,Apartment,61,465,1638,200,30,100,3,60,11,27,36,36,99
13969298,83279587,Apartment,84,,,150,0,25,2,180,3,14,34,116,96
13970867,5138361,House,699,,,1000,250,0,2,365,9,27,32,221,99
13977858,23910988,Apartment,220,,,500,110,0,2,1125,15,37,47,77,95
13980222,83401919,Guesthouse,120,,,,0,40,1,1125,0,0,19,294,99
13980304,22875649,Apartment,40,,,200,30,25,2,10,0,0,0,0,
13982144,47152731,Townhouse,199,,,150,,25,2,1125,1,2,2,2,100
13982616,83438107,House,40,,,0,10,10,1,30,10,24,45,45,95
13985421,83259522,House,186,,,200,100,25,1,1125,15,15,15,83,91
13988466,52833716,Apartment,90,,,0,15,0,1,62,0,0,0,0,100
13988722,83501798,Apartment,78,,,150,15,15,1,1125,23,53,83,83,
13997715,28776949,Apartment,28,,,130,25,18,3,1125,0,0,0,0,100
13999140,83633832,Apartment,35,,,,,0,14,30,0,0,0,0,
14000667,83653581,Apartment,46,,,150,20,0,1,1125,0,0,0,0,
14002863,39999305,Apartment,132,,,250,45,20,2,1125,0,6,33,33,95
14016054,25910416,Apartment,60,,,150,10,0,7,20,0,0,0,0,
14016636,40081020,Apartment,136,,,500,85,0,3,1125,0,0,0,0,88
14016689,1395312,Apartment,100,,,0,0,25,4,50,0,0,0,0,96
